epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.221,3.88913,19.5984,4.11276,4.26322,0.00556,0.66667,0.00589,0.00478,0.00222,0.41667,0.00217,0.0007,4.58604,5.21178,3.96907,4.15839,3.75e-05,3.75e-05,3.75e-05
2,36.1505,3.99359,23.1964,4.10332,4.26946,0.00587,0.66667,0.00662,0.00443,0.0023,0.41667,0.00213,0.00069,4.58664,5.20961,3.96907,4.15791,8.64172e-05,8.64172e-05,8.64172e-05
3,56.7725,4.11329,26.4259,4.11389,4.27542,0.00558,0.66667,0.00879,0.00468,0.00338,0.5,0.06808,0.00781,4.58621,5.2088,3.97376,4.1571,0.000134097,0.000134097,0.000134097
4,76.1551,4.12809,8.4057,4.02915,4.23787,0.00594,0.66667,0.00852,0.00711,0.00355,0.5,0.00792,0.00189,4.58385,5.20633,3.97533,4.15647,0.000180539,0.000180539,0.000180539
5,100.375,4.13702,5.19091,3.76612,4.1584,0.00572,0.66667,0.00952,0.00944,0.0023,0.41667,0.00271,0.00084,4.58388,5.20601,3.97857,4.15661,0.000225744,0.000225744,0.000225744
6,125.035,4.16456,4.19726,3.6775,4.11636,0.00574,0.66667,0.01194,0.0071,0.00346,0.5,0.00658,0.0021,4.58236,5.20374,3.97828,4.15691,0.000269711,0.000269711,0.000269711
7,139.591,4.02502,3.34308,3.45941,4.04573,0.0059,0.66667,0.02041,0.00781,0.00233,0.41667,0.00695,0.00202,4.5815,5.19289,3.98518,4.16051,0.000312441,0.000312441,0.000312441
8,152.339,3.9267,2.87147,3.2199,3.95554,0.00554,0.66667,0.02476,0.01405,0.00332,0.5,0.01086,0.00514,4.57852,5.16699,4.02055,4.16731,0.000353933,0.000353933,0.000353933
9,166.476,3.86651,2.88792,3.16323,3.91199,0.00556,0.66667,0.04227,0.02058,0.00221,0.41667,0.01532,0.00646,4.56341,5.12934,4.01474,4.17503,0.000394188,0.000394188,0.000394188
10,179.253,3.81503,2.53345,2.98686,3.82528,0.00566,0.66667,0.05431,0.01673,0.00222,0.41667,0.04043,0.00806,4.53833,5.04993,4.03938,4.18395,0.000433205,0.000433205,0.000433205
11,188.529,3.67421,2.67192,2.95028,3.79134,0.00561,0.66667,0.05687,0.01415,0.0022,0.41667,0.00894,0.00286,4.54068,4.86025,4.09706,4.20511,0.000470984,0.000470984,0.000470984
12,198.361,3.54842,2.68954,2.91084,3.74138,0.00513,0.66667,0.09674,0.02194,0.00281,0.5,0.01123,0.00365,4.52236,4.58513,4.16628,4.20584,0.000507527,0.000507527,0.000507527
13,210.676,3.36051,2.52707,2.81223,3.60475,0.00602,0.66667,0.4028,0.1504,0.00318,0.5,0.33463,0.07711,4.51972,4.00693,4.30712,4.24391,0.000542831,0.000542831,0.000542831
14,220.265,3.14289,2.50638,2.71989,3.52079,0.00523,0.66667,0.40375,0.16008,0.00287,0.5,0.33452,0.08888,4.51239,3.64421,4.25384,4.26213,0.000576898,0.000576898,0.000576898
15,231.412,3.30157,2.68507,2.70497,3.55397,0.00496,0.66667,0.37722,0.05333,0.00272,0.5,0.34255,0.0831,4.57096,2.89912,4.29532,4.19272,0.000609728,0.000609728,0.000609728
16,240.96,3.12735,2.58606,2.63075,3.43787,0.0119,0.08333,0.01195,0.00119,0.6717,0.33333,0.08292,0.01382,4.73074,2.92505,5.94836,4.29034,0.00064132,0.00064132,0.00064132
17,252.602,2.88146,2.51934,2.51144,3.33996,0,0,0,0,0.00237,0.33333,0.06633,0.00663,4.85924,3.93168,19.9162,4.75931,0.000671675,0.000671675,0.000671675
18,266.701,2.97557,2.3609,2.37157,3.23363,0.00394,0.33333,0.05124,0.00898,0.68583,0.33333,0.0936,0.01559,4.68179,2.42702,6.10806,4.38292,0.000700792,0.000700792,0.000700792
19,276.521,2.773,2.24012,2.31468,3.18571,0.34383,0.66667,0.0646,0.0112,0.6794,0.33333,0.09385,0.01923,4.67061,2.46101,7.06854,4.42208,0.000728672,0.000728672,0.000728672
20,287.146,2.78724,2.21569,2.23228,3.15653,0.38182,0.08333,0.09549,0.01325,0.36839,0.41667,0.11526,0.02066,4.70723,2.64127,6.72179,4.31012,0.000755314,0.000755314,0.000755314
21,299.112,2.76738,2.1022,2.20588,3.08193,0.00855,0.16667,0.00885,0.00144,0.41357,0.41667,0.35371,0.04145,4.78798,3.38873,6.11547,4.40926,0.000780719,0.000780719,0.000780719
22,310.647,2.67477,2.23866,2.22255,3.02237,0.3687,0.3982,0.06353,0.00886,0.37966,0.41667,0.24845,0.03376,4.87636,3.09062,4.18745,4.38291,0.000804886,0.000804886,0.000804886
23,321.616,2.76713,2.0826,2.17051,3.00376,0.68319,0.33333,0.08613,0.02853,0.70518,0.08333,0.0697,0.01861,4.78685,2.67279,4.48015,4.3557,0.000827816,0.000827816,0.000827816
24,331.119,2.45782,1.82844,2.01512,2.86883,0.3657,0.66667,0.18091,0.01945,0.36221,0.5,0.19705,0.02862,4.9605,3.00324,8.2303,4.4616,0.000849508,0.000849508,0.000849508
25,340.703,2.4409,1.89618,1.99607,2.86328,0.34736,0.16667,0.01552,0.00304,0.36416,0.5,0.15395,0.02007,5.02329,3.13267,13.9694,4.94789,0.000869963,0.000869963,0.000869963
