epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84558,1.12925,3.45516,3.64557,1.1432,0.00899,0.68889,0.03199,0.00969,0.01146,0.62778,0.03163,0.00579,0.84695,2.28434,3.66125,1.11951,3.75e-05,3.75e-05,3.75e-05
2,6.00452,1.14539,3.32808,3.61807,1.16513,0.01641,0.72222,0.04665,0.02295,0.01411,0.71111,0.0459,0.01303,0.6682,1.39685,3.56681,1.01764,8.57675e-05,8.57675e-05,8.57675e-05
3,8.08507,0.84676,1.67519,3.37405,1.00095,0.011,0.7,0.40001,0.27114,0.011,0.7,0.41661,0.22675,0.63013,0.88466,3.50285,0.95171,0.000132055,0.000132055,0.000132055
4,10.1798,0.837,1.40294,2.75918,0.96516,0.01316,0.71111,0.63138,0.33633,0.01316,0.71111,0.66518,0.38014,0.59128,0.80183,3.41228,0.9093,0.000176362,0.000176362,0.000176362
5,12.2529,0.79326,1.27317,2.12962,0.95655,0.01341,0.71111,0.67139,0.50447,0.01425,0.72222,0.68119,0.49007,0.5834,0.73783,3.28252,0.91659,0.00021869,0.00021869,0.00021869
6,14.2018,0.72792,1.04704,1.69951,0.94215,0.02849,0.94444,0.87451,0.76851,0.02849,0.94444,0.87737,0.68369,0.53965,0.69769,3.06786,0.91669,0.000259038,0.000259038,0.000259038
7,16.1903,0.73437,1.03412,1.31664,0.93593,0.03418,1,0.97446,0.81587,0.03418,1,0.97446,0.8235,0.57647,0.63216,2.76152,0.92929,0.000297405,0.000297405,0.000297405
8,18.1104,0.67608,0.90671,1.07432,0.91017,1,0.22693,0.995,0.90765,1,0.22693,0.995,0.8219,0.68043,0.6247,2.284,0.97803,0.000333792,0.000333792,0.000333792
9,20.0272,0.71162,0.98047,0.98209,0.92992,1,0.25374,0.97833,0.87955,1,0.25374,0.97833,0.82668,0.81679,0.63351,1.94867,1.00845,0.0003682,0.0003682,0.0003682
10,21.9688,0.66318,0.78066,0.88999,0.91582,1,0.48374,0.97833,0.81543,1,0.48374,0.97833,0.79372,0.70988,0.65977,1.82196,0.98718,0.000400628,0.000400628,0.000400628
11,23.929,0.676,0.83591,0.88169,0.91588,0.76896,0.91414,0.995,0.78238,0.76896,0.91414,0.995,0.75591,0.7156,0.57102,1.82755,0.97734,0.000431075,0.000431075,0.000431075
12,25.89,0.66951,0.8518,0.82683,0.90544,0.81719,0.71174,0.995,0.7247,0.81719,0.71174,0.995,0.6976,0.78789,0.59209,1.89916,1.03881,0.000459543,0.000459543,0.000459543
13,27.8649,0.65589,0.84305,0.77545,0.9008,0.89405,0.66667,0.995,0.80697,0.89405,0.66667,0.995,0.77636,0.6676,0.66423,1.82624,1.02984,0.00048603,0.00048603,0.00048603
14,29.8971,0.63506,0.8755,0.78217,0.9081,0.91469,0.66667,0.995,0.86569,0.91469,0.66667,0.995,0.85561,0.59199,0.67627,1.59506,1.01781,0.000510537,0.000510537,0.000510537
15,31.8517,0.70782,0.89584,0.80872,0.91816,0.64414,0.96646,0.995,0.91433,0.64414,0.96646,0.995,0.8571,0.679,0.76685,1.18146,0.98987,0.000533065,0.000533065,0.000533065
16,33.8029,0.64799,0.91532,0.72873,0.8915,0.74299,0.87655,0.995,0.83949,0.74299,0.87655,0.995,0.78024,0.70811,0.80903,1.11233,0.99698,0.000553613,0.000553613,0.000553613
17,35.6992,0.60265,0.82057,0.70792,0.89081,0.79229,0.87609,0.995,0.86973,0.79229,0.87609,0.995,0.8381,0.75375,0.8308,1.11381,0.98048,0.00057218,0.00057218,0.00057218
18,37.7294,0.6121,0.88372,0.70294,0.87267,0.85736,0.90335,0.995,0.89512,0.85736,0.90335,0.995,0.86797,0.5549,0.64857,1.04449,0.93535,0.000588767,0.000588767,0.000588767
19,39.6253,0.59578,0.75836,0.66081,0.88536,0.81952,0.92859,0.995,0.90732,0.81952,0.92859,0.995,0.85174,0.50493,0.59583,1.08084,0.92084,0.000603375,0.000603375,0.000603375
20,41.5865,0.59343,0.76556,0.66734,0.88542,0.7844,1,0.995,0.90138,0.7844,1,0.995,0.85093,0.51092,0.59909,1.11244,0.90116,0.000616003,0.000616003,0.000616003
21,43.6235,0.58634,0.73402,0.65823,0.86006,0.79705,0.92879,0.995,0.91138,0.79705,0.92879,0.995,0.85408,0.52341,0.61189,1.17583,0.88969,0.00062665,0.00062665,0.00062665
22,45.579,0.64071,0.82059,0.70182,0.8933,0.72306,0.9032,0.995,0.91303,0.72306,0.9032,0.995,0.8559,0.47989,0.56371,1.2206,0.88913,0.000635318,0.000635318,0.000635318
23,47.5539,0.60527,0.77229,0.66317,0.88081,0.71657,0.90356,0.995,0.81203,0.71657,0.90356,0.995,0.76582,0.48103,0.53574,1.18417,0.88569,0.000642005,0.000642005,0.000642005
24,49.6478,0.55131,0.72255,0.61595,0.88276,0.74228,0.89548,0.995,0.9578,0.74228,0.89548,0.995,0.85631,0.45551,0.70164,1.11172,0.87014,0.000646713,0.000646713,0.000646713
25,51.6359,0.5526,0.70349,0.62559,0.86585,0.78181,0.97365,0.995,0.96478,0.76975,0.96254,0.99034,0.87501,0.41817,1.08829,1.08045,0.86213,0.00064944,0.00064944,0.00064944
26,53.6708,0.56423,0.78633,0.62217,0.86291,0.78642,1,0.995,0.95937,0.75022,0.96667,0.96849,0.86789,0.44608,1.11167,0.99818,0.86428,0.00063125,0.00063125,0.00063125
27,55.6373,0.58792,0.73314,0.61933,0.88294,0.86008,0.92448,0.995,0.90103,0.86008,0.92448,0.995,0.90139,0.4316,0.78829,0.90721,0.86221,0.0006065,0.0006065,0.0006065
