epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75552,2.03481,1.6172,1.73946,2.5919,0.67033,0.52778,0.53835,0.27303,0.67033,0.52778,0.52413,0.24982,2.21717,2.18346,2.24748,2.79036,3.75e-05,3.75e-05,3.75e-05
2,8.55877,2.08348,1.64476,1.80126,2.62903,1,0.22569,0.83707,0.38368,1,0.22569,0.79015,0.36583,1.94924,2.05378,2.09191,2.722,8.64172e-05,8.64172e-05,8.64172e-05
3,11.9367,1.85681,1.4415,1.52246,2.42798,0.89751,0.25556,0.7618,0.31772,0.89992,0.25556,0.71128,0.32877,2.00153,2.12829,1.95528,2.68802,0.000134097,0.000134097,0.000134097
4,15.3066,1.9462,1.52686,1.59469,2.39653,0.94659,0.23295,0.45993,0.2183,0.92819,0.22222,0.40253,0.19673,1.91524,1.84643,1.73169,2.60789,0.000180539,0.000180539,0.000180539
5,18.5795,1.97461,1.60609,1.56076,2.41325,0.757,0.37222,0.52839,0.24525,0.81401,0.36617,0.46746,0.22577,1.82212,1.74308,1.69007,2.56462,0.000225744,0.000225744,0.000225744
6,21.8127,1.92256,1.45318,1.52184,2.41284,0.69322,0.38333,0.61956,0.29705,0.70127,0.38333,0.5495,0.26979,1.66483,1.5905,1.54451,2.49054,0.000269711,0.000269711,0.000269711
7,25.1359,1.89894,1.44183,1.57901,2.44885,0.90377,0.4754,0.61454,0.33351,0.9079,0.46223,0.58493,0.346,1.61687,1.30141,1.37396,2.42953,0.000312441,0.000312441,0.000312441
8,28.3899,1.79524,1.23758,1.48439,2.39533,0.75156,0.47778,0.84738,0.36595,0.75156,0.47778,0.84738,0.41612,1.59227,0.99266,1.28515,2.36677,0.000353933,0.000353933,0.000353933
9,31.6859,1.80147,1.37658,1.46079,2.32491,0.85914,0.5,0.69608,0.39404,0.85914,0.5,0.86191,0.42828,1.35046,0.8933,1.20667,2.28567,0.000394188,0.000394188,0.000394188
10,34.9889,1.81262,1.26866,1.41554,2.32214,0.6198,0.91667,0.89647,0.36947,0.6198,0.91667,0.89647,0.37807,1.37992,0.93333,1.20887,2.26859,0.000433205,0.000433205,0.000433205
