epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69877,3.8445,11.4988,4.20332,4.29217,0.00568,0.66667,0.04711,0.0075,0.00231,0.41667,0.00228,0.00068,4.58511,5.20604,3.97061,4.15873,3.75e-05,3.75e-05,3.75e-05
2,8.14108,4.00618,12.223,4.20031,4.28156,0.00582,0.66667,0.01251,0.00579,0.0023,0.41667,0.00257,0.00077,4.58472,5.20295,3.96938,4.15874,8.57675e-05,8.57675e-05,8.57675e-05
3,11.2957,4.06971,9.38198,4.14642,4.29301,0.00595,0.66667,0.0373,0.02239,0.00238,0.41667,0.0288,0.01541,4.58302,5.19859,3.97404,4.1581,0.000132055,0.000132055,0.000132055
4,14.676,4.08319,6.09451,4.03702,4.25256,0.00589,0.66667,0.01454,0.0057,0.00354,0.5,0.00425,0.00152,4.57995,5.19332,3.97731,4.1565,0.000176362,0.000176362,0.000176362
5,17.9845,4.12867,4.95889,3.88095,4.22036,0.00589,0.66667,0.02467,0.00774,0.00236,0.41667,0.02065,0.00586,4.58067,5.18892,3.985,4.15636,0.00021869,0.00021869,0.00021869
6,21.2842,4.1281,4.20155,3.74985,4.18098,0.00585,0.66667,0.01649,0.00849,0.00233,0.41667,0.0061,0.00239,4.57797,5.18063,4.00065,4.15524,0.000259038,0.000259038,0.000259038
7,24.5382,3.94389,3.46837,3.55545,4.16163,0.00587,0.66667,0.01747,0.00694,0.00235,0.41667,0.00576,0.00197,4.57427,5.16678,4.01675,4.15487,0.000297405,0.000297405,0.000297405
8,27.858,3.85073,3.02149,3.28265,4.12182,0.00576,0.66667,0.05314,0.02027,0.00344,0.5,0.00549,0.00146,4.56772,5.1378,4.01949,4.15347,0.000333792,0.000333792,0.000333792
9,31.0774,3.84023,2.97195,3.14379,4.09558,0.00568,0.66667,0.02487,0.01203,0.00337,0.5,0.01227,0.00404,4.55127,5.09537,4.04328,4.15238,0.0003682,0.0003682,0.0003682
10,34.3667,3.75854,2.50799,3.02602,4.0566,0.00571,0.66667,0.07701,0.01997,0.0034,0.5,0.05438,0.00978,4.53694,5.017,4.12572,4.15994,0.000400628,0.000400628,0.000400628
